,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,PLANTA BAJA / GROUND FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipologia / Typo,Etapa / Phase,Habitaciones / Bedrooms,Banos / Baths,Vistas / Views,Caracteristica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,Jardin / Garden,Precio / Price,Status
1,T6C,1,1,1.5,Jardin / Garden,Terraza + Jacuzzi,,60.37,649.82,36.61,394.07,105.59,"1,043.89",8.61,,RESERVADA
2,T6A-ST,1,1,1.5,Jardin / Garden,Terraza + Jacuzzi,,58.93,634.32,41.12,442.62,127.66,"1,076.94",27.61,,RESERVADA
3,T6A-ST,1,1,1.5,Jardin / Garden,Terraza + Jacuzzi,,58.93,634.32,41.12,442.62,146.68,"1,076.94",46.63,,RESERVADA
4,T6A-ST,1,1,1.5,Jardin / Garden,Terraza + Jacuzzi,,58.93,634.32,41.12,442.62,165.70,"1,076.94",65.65,,RESERVADA
5,T6A-ST,1,1,1.5,Jardin / Garden,Terraza + Jacuzzi,,58.93,634.32,41.12,442.62,184.71,"1,076.94",84.66,,RESERVADA
6,T6A-ST,1,1,1.5,Jardin / Garden,Terraza + Jacuzzi,,58.93,634.32,41.12,442.62,202.57,"1,076.94",102.52,,RESERVADA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,1ER NIVEL / 1ST FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipologia / Typo,Etapa / Phase,Habitaciones / Bedrooms,Banos / Baths,Vistas / Views,Caracteristica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,,Precio / Price,Status
101,T5A,1,2,2.5,Lago / Lake,Lock-Off,,85.74,922.91,21.75,234.12,107.49,"1,157.02",,"$450,000",
102,T5B,1,2,2.5,Lago / Lake,Lock-Off,,84.97,914.62,21.90,235.73,106.87,"1,150.35",,"$447,300",
103,T1,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.17,206.35,108.23,"1,164.99",,"$419,327",
104,T1A,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.15,206.13,108.21,"1,164.77",,"$419,250",
105,T3,1,2,2.5,Lago / Lake,Family Room,,100.88,"1,085.87",19.00,204.52,119.88,"1,290.39",,,RESERVADA
106,T3,1,2,2.5,Lago / Lake,Family Room,,100.88,"1,085.87",17.36,186.86,118.24,"1,272.74",,,RESERVADO
107,T1A,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.22,206.88,108.28,"1,165.53",,"$423,562",
108,T1,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.22,206.88,108.28,"1,165.53",,"$423,562",
109,T1A,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.22,206.88,108.28,"1,165.53",,"$423,562",
110,T4,1,1,1,Lago / Lake,-,,70.20,755.63,16.82,181.05,87.02,936.68,,,bloqueado
127,T7,1,1 +,2.5,Golf,Family Room,,84.24,906.76,18.70,201.29,102.94,"1,108.05",,,RESERVADO
128,T5,1,1 +,2.5,Golf,Lock-Off,,88.61,953.80,21.03,226.37,109.64,"1,180.16",,"$425,680",
129,T6A,1,1,1.5,Golf,-,,58.52,629.91,21.03,226.37,79.55,856.28,,,RESERVADO
130,T9,1,1 +,2.5,Golf,Family Room,,99.16,"1,067.36",24.79,266.84,123.95,"1,334.20",,"$440,404",
131,T9,1,1 +,2.5,Golf,Family Room,,99.16,"1,067.36",24.79,266.84,123.95,"1,334.20",,"$440,404",
132,T6,1,1,1.5,Golf,-,,58.82,633.14,18.54,199.56,77.36,832.70,,,RESERVADO
133,T6,1,1,1.5,Golf,-,,58.82,633.14,22.11,237.99,80.93,871.13,,,RESERVADO
134,T5,1,1+,2.5,Golf,Lock-Off,,88.61,953.80,22.21,239.07,110.82,"1,192.87",,"$429,150",
,,,,,,,,,,,,,,,,
,,,2NDO NIVEL / 2ND FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipologia / Typo,Etapa / Phase,Habitaciones / Bedrooms,Banos / Baths,Vistas / Views,Caracteristica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,,Precio / Price,Status
201,T10,1,1,1.5,Lago / Lake,Flat,,37.36,402.14,10.90,117.33,48.26,519.47,,,RESERVADO
202,T6B,1,1,1.5,Lago / Lake,-,,59.35,638.84,11.55,124.32,70.90,763.17,,,RESERVADO
203,T5B,1,2,2.5,Lago / Lake,Lock-Off,,84.97,914.62,22.64,243.70,107.61,"1,158.31",,"$448,467",
204,T1,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.48,209.68,108.54,"1,168.32",,,RESERVADO
205,T1A,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.48,209.68,108.54,"1,168.32",,"$420,863",BLOQUEADO
206,T3,1,2,2.5,Lago / Lake,Family Room,,100.88,"1,085.87",17.95,193.21,118.83,"1,279.09",,,RESERVADO
207,T3,1,2,2.5,Lago / Lake,Family Room,,100.88,"1,085.87",20.54,221.09,121.42,"1,306.96",,,RESERVADO
208,T1A,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.03,204.84,108.09,"1,163.48",,,RESERVADA
209,T1,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.30,207.75,108.36,"1,166.39",,,RESERVADA
210,T1A,1,1 +,2.5,Lago / Lake,Family Room,,89.06,958.64,19.30,207.75,108.36,"1,166.39",,"$420,166",BLOQUEADO
211,T4,1,1,1.5,Lago / Lake,-,,70.20,755.63,13.34,143.59,83.54,899.22,,,RESERVADO
229,T7,1,2,2.5,Golf,-,,84.24,906.76,23.71,255.21,107.95,"1,161.97",,,RESERVADO
230,T5,1,1 +,2.5,Golf,Lock-Off,,88.61,953.80,19.93,214.53,108.54,"1,168.32",,"$425,864",
